# 由 qingjian-dict-convert phrases 从语料相邻词组合挖出（总次数与对话语料次数都 ≥ 2000），读音由成分词拼出。词\t次数\t拼音
真的	323109	zhen de
你的	303448	ni de
我的	291077	wo de
都是	219757	dou shi
不会	200602	bu hui
不要	188372	bu yao
好的	186947	hao de
你是	183737	ni shi
不知道	183625	bu zhi dao
我是	175922	wo shi
不能	166194	bu neng
给你	161425	gei ni
我就	143838	wo jiu
是的	143660	shi de
这是	141381	zhe shi
给我	131551	gei wo
好了	112249	hao le
我要	112167	wo yao
好吧	111809	hao ba
一点	104977	yi dian
说的	101234	shuo de
是啊	100279	shi a
我觉得	97857	wo jue de
你说	97833	ni shuo
我也是	97317	wo ye shi
那你	97311	na ni
就好	93602	jiu hao
我在	92434	wo zai
不好	91987	bu hao
不到	91092	bu dao
很多	90749	hen duo
一天	90649	yi tian
不想	89532	bu xiang
我想	86644	wo xiang
你在	79036	ni zai
爱你	76883	ai ni
一个人	75982	yi ge ren
他的	75809	ta de
生日快乐	74786	sheng ri kuai le
你要	74754	ni yao
多了	74031	duo le
自己的	71979	zi ji de
你好	71962	ni hao
不了	71681	bu le
到了	71300	dao le
我说	70070	wo shuo
是什么	69906	shi shen me
什么时候	68924	shen me shi hou
去了	67693	qu le
我去	66103	wo qu
对啊	66004	dui a
还在	63393	hai zai
让我	62656	rang wo
你就	62635	ni jiu
来了	61817	lai le
吃了	61487	chi le
还好	61487	hai hao
看了	60843	kan le
那是	60195	na shi
那我	59420	na wo
那就	58924	na jiu
我现在	58777	wo xian zai
吃的	58559	chi de
我有	57875	wo you
你怎么	56144	ni zen me
好啊	56123	hao a
我家	55069	wo jia
也要	55036	ye yao
跟你	55031	gen ni
也想	54478	ye xiang
都有	54235	dou you
我看	54048	wo kan
是在	53904	shi zai
还要	53636	hai yao
等你	52351	deng ni
有没有	52097	you mei you
跟我	52092	gen wo
去看	51975	qu kan
你有	50991	ni you
你去	50727	ni qu
要去	50680	yao qu
你看	50200	ni kan
也有	50024	ye you
上的	49400	shang de
很好	49197	hen hao
人的	48987	ren de
一年	48411	yi nian
我会	48208	wo hui
想要	47945	xiang yao
太多	47932	tai duo
买了	47336	mai le
和你	46779	he ni
我也想	46537	wo ye xiang
不喜欢	46090	bu xi huan
是个	45385	shi ge
是一个	44843	shi yi ge
会有	44701	hui you
年的	44459	nian de
这样的	44307	zhe yang de
来的	43954	lai de
